trade_id,symbol,trade_date,price,quantity,trader
101,AAPL,2025-06-30,152.34,100,Smith 
101,AAPL ,30/06/2025,$152.34,100,smith
102,GOOG,2025-07-01,N/A,50,Johnson
103,msft,2025-07-01,332.10,,Lee
104,TSLA,2025-07-01, 712.50 ,75,Garcia
105,AMZN,2025-07-01,3405.12,30,ONeil
105,AMZN,01/07/2025,3405.12,30,ONeil
106,NFLX,01/07/2025, 555.5,20,Rodriguez
107,NVDA,01/07/2025,  null ,60,Chen
108,BABA,01/07/2025, 210.90,0,Ahmed
109,ORCL,01/07/2025, 117.25,40,DSouza
110,IBM,2025-07-05,134.8,30,   Patel
111,V,2025-07-05,240.11,20,Nguyen
112,JPM,2025-07-05, 147.9,35,
113,BAC,2025-07-05,  41.5,45,Muller
114,WMT,2025-07-05,  139.45,60,Khan
115,PG,2025-07-05, 146.01,50,Singh
116,CVX ,2025-07-05,$150.23,25,Silva
117,DIS,2025-07-05,85.77,,Garcia
118,KO,2025-07-05,60.12,100,Brown
119,PEP,05/07/2025,null,90,Davis
120,SAP,05/07/2025,  132.5,55,   Martin  
121,INTC,05/07/2025,33.44,,Thompson
122,CSCO,05/07/2025,52.1,80,Lopez
123,ADBE,05/07/2025,  null,60,Gomez
124,CRM,2025-07-10,220.18,40,Martinez
125,COST,2025-07-10, 531.25,70,King
126,T,2025-07-10,14.87,120,Hernandez
127,VZ,2025-07-10,$55.45,95,   Rossi
127,VZ,2025-07-10,$55.45,95,   Rossi
128,meta ,2025-07-10,$ 334.50,150,JOHNSON
129,googl,2025-07-10,2875.0 ,25,oconnor
130,UBER,2025-07-10,N/A,200,VAN DER BERG
131,lyft,2025-07-10, $45.67 ,80,mcdonald
132,SNAP ,2025-07-10,null,,zhang
133,twtr,2025-07-10,  35.90,300,DE SILVA
134,sq,2025-07-10,$78.45,45,  st john  
135,SHOP ,2025-07-10, 1250.30,60,obrien
136,roku,10/07/2025,NULL,90,muller schmidt
137,ZOOM,10/07/2025,$125.75 ,110,GARCIA LOPEZ
138,docn,10/07/2025,  55.20,75,van damme
139,NET ,10/07/2025,null,0,DE LA CRUZ
140,crwd,10/07/2025, $245.80,85,mac arthur
